Id,Label,timeset,indegree,outdegree,Degree
210,210,,0,27,27
211,211,,0,34,34
212,212,,0,30,30
213,213,,1,25,26
214,214,,0,25,25
215,215,,1,22,23
216,216,,1,25,26
217,217,,2,27,29
218,218,,0,22,22
219,219,,2,24,26
220,220,,0,26,26
221,221,,0,33,33
222,222,,0,28,28
223,223,,0,27,27
224,224,,0,32,32
225,225,,1,40,41
226,226,,1,23,24
227,227,,2,28,30
228,228,,0,20,20
229,229,,1,27,28
230,230,,0,31,31
231,231,,2,32,34
232,232,,0,26,26
233,233,,0,23,23
234,234,,0,22,22
235,235,,0,31,31
236,236,,2,21,23
237,237,,0,30,30
238,238,,0,28,28
239,239,,0,25,25
240,240,,0,28,28
241,241,,1,33,34
242,242,,0,36,36
243,243,,2,23,25
244,244,,0,26,26
245,245,,0,28,28
246,246,,1,25,26
247,247,,2,19,21
248,248,,0,29,29
249,249,,0,28,28
250,250,,1,31,32
251,251,,2,25,27
252,252,,0,40,40
253,253,,1,30,31
254,254,,1,26,27
255,255,,0,43,43
256,256,,2,23,25
257,257,,1,35,36
258,258,,0,21,21
259,259,,1,37,38
260,260,,2,17,19
261,261,,1,27,28
262,262,,0,31,31
263,263,,2,35,37
264,264,,0,29,29
265,265,,1,38,39
266,266,,2,29,31
267,267,,2,28,30
268,268,,0,35,35
269,269,,1,26,27
270,270,,0,38,38
271,271,,2,27,29
272,272,,0,21,21
273,273,,0,24,24
274,274,,1,24,25
275,275,,0,21,21
276,276,,0,30,30
277,277,,2,39,41
278,278,,2,22,24
279,279,,3,20,23
280,280,,2,30,32
281,281,,1,16,17
282,282,,2,26,28
283,283,,0,29,29
284,284,,1,32,33
285,285,,0,30,30
286,286,,1,23,24
287,287,,0,34,34
288,288,,1,29,30
289,289,,3,28,31
290,290,,2,30,32
291,291,,1,40,41
292,292,,2,33,35
293,293,,0,25,25
294,294,,0,29,29
295,295,,2,32,34
296,296,,2,34,36
297,297,,3,25,28
298,298,,1,29,30
299,299,,1,31,32
300,300,,1,19,20
301,301,,2,22,24
302,302,,0,32,32
303,303,,0,23,23
304,304,,0,41,41
305,305,,1,31,32
306,306,,1,31,32
307,307,,2,26,28
308,308,,4,22,26
309,309,,1,24,25
310,310,,0,26,26
311,311,,0,26,26
312,312,,3,23,26
313,313,,3,28,31
314,314,,0,32,32
315,315,,0,24,24
316,316,,1,33,34
317,317,,1,40,41
318,318,,3,28,31
319,319,,1,33,34
320,320,,2,38,40
321,321,,1,24,25
322,322,,1,31,32
323,323,,1,29,30
324,324,,2,31,33
325,325,,0,23,23
326,326,,2,25,27
327,327,,1,31,32
328,328,,0,20,20
329,329,,1,39,40
330,330,,1,27,28
331,331,,2,35,37
332,332,,1,28,29
333,333,,0,31,31
334,334,,0,28,28
335,335,,1,21,22
336,336,,0,30,30
337,337,,0,32,32
338,338,,2,30,32
339,339,,3,32,35
340,340,,1,32,33
341,341,,1,26,27
342,342,,1,30,31
343,343,,1,30,31
344,344,,0,35,35
345,345,,3,30,33
346,346,,3,25,28
347,347,,2,20,22
348,348,,4,22,26
349,349,,1,29,30
350,350,,1,39,40
351,351,,2,24,26
352,352,,2,26,28
353,353,,1,26,27
354,354,,0,19,19
355,355,,1,25,26
356,356,,2,29,31
357,357,,1,20,21
358,358,,1,28,29
359,359,,1,23,24
360,360,,2,23,25
361,361,,2,26,28
362,362,,2,33,35
363,363,,1,32,33
364,364,,1,28,29
365,365,,1,30,31
366,366,,2,29,31
367,367,,2,17,19
368,368,,0,33,33
369,369,,1,35,36
370,370,,1,34,35
371,371,,1,18,19
372,372,,3,23,26
373,373,,2,30,32
374,374,,1,29,30
375,375,,1,26,27
376,376,,0,19,19
377,377,,2,23,25
378,378,,1,26,27
379,379,,1,21,22
380,380,,0,36,36
381,381,,2,26,28
382,382,,0,27,27
383,383,,1,30,31
384,384,,1,30,31
385,385,,1,37,38
386,386,,2,38,40
387,387,,2,39,41
388,388,,0,32,32
389,389,,2,21,23
390,390,,2,33,35
391,391,,0,23,23
392,392,,2,27,29
393,393,,3,41,44
394,394,,1,24,25
395,395,,2,24,26
396,396,,2,26,28
397,397,,1,23,24
398,398,,7,44,51
399,399,,0,24,24
400,400,,1,30,31
401,401,,1,22,23
402,402,,2,27,29
403,403,,0,34,34
404,404,,4,29,33
405,405,,4,30,34
406,406,,1,27,28
407,407,,1,31,32
408,408,,0,20,20
409,409,,0,29,29
410,410,,1,31,32
411,411,,1,32,33
412,412,,0,34,34
413,413,,3,24,27
414,414,,3,27,30
415,415,,3,18,21
416,416,,4,30,34
417,417,,1,33,34
418,418,,2,31,33
419,419,,4,29,33
420,420,,0,32,32
421,421,,1,25,26
422,422,,0,30,30
423,423,,0,26,26
424,424,,1,25,26
425,425,,3,21,24
426,426,,2,43,45
427,427,,5,28,33
428,428,,0,30,30
429,429,,1,30,31
430,430,,3,24,27
431,431,,3,18,21
432,432,,1,26,27
433,433,,2,30,32
434,434,,0,29,29
435,435,,0,27,27
436,436,,2,32,34
437,437,,1,22,23
438,438,,3,34,37
439,439,,1,26,27
440,440,,1,24,25
441,441,,2,19,21
442,442,,2,25,27
443,443,,1,37,38
444,444,,0,20,20
445,445,,1,29,30
446,446,,3,32,35
447,447,,0,21,21
448,448,,5,22,27
449,449,,2,23,25
450,450,,1,31,32
451,451,,2,41,43
452,452,,4,30,34
453,453,,1,33,34
454,454,,1,32,33
455,455,,1,35,36
456,456,,0,39,39
457,457,,2,20,22
458,458,,2,29,31
459,459,,4,24,28
460,460,,4,26,30
461,461,,3,33,36
462,462,,0,31,31
463,463,,1,27,28
464,464,,0,31,31
465,465,,2,37,39
466,466,,1,32,33
467,467,,1,33,34
468,468,,2,24,26
469,469,,3,30,33
470,470,,2,16,18
471,471,,2,29,31
472,472,,2,27,29
473,473,,3,31,34
474,474,,3,25,28
475,475,,0,28,28
476,476,,1,31,32
477,477,,3,28,31
478,478,,1,34,35
479,479,,2,36,38
480,480,,2,25,27
481,481,,0,28,28
482,482,,1,28,29
483,483,,0,21,21
484,484,,2,36,38
485,485,,1,27,28
486,486,,3,24,27
487,487,,2,29,31
488,488,,1,28,29
489,489,,6,22,28
490,490,,2,25,27
491,491,,3,38,41
492,492,,3,31,34
493,493,,0,23,23
494,494,,0,32,32
495,495,,3,23,26
496,496,,2,32,34
497,497,,1,27,28
498,498,,1,25,26
499,499,,2,25,27
500,500,,3,24,27
501,501,,1,27,28
502,502,,1,36,37
503,503,,1,21,22
504,504,,1,21,22
505,505,,1,24,25
506,506,,2,34,36
507,507,,2,27,29
508,508,,2,26,28
509,509,,0,30,30
510,510,,0,20,20
511,511,,1,26,27
512,512,,3,26,29
513,513,,2,28,30
514,514,,1,27,28
515,515,,1,25,26
516,516,,2,30,32
517,517,,0,33,33
518,518,,4,25,29
519,519,,0,28,28
520,520,,3,17,20
521,521,,1,29,30
522,522,,5,25,30
523,523,,2,29,31
524,524,,3,22,25
525,525,,1,36,37
526,526,,1,17,18
527,527,,0,26,26
528,528,,1,28,29
529,529,,4,28,32
530,530,,3,31,34
531,531,,2,35,37
532,532,,3,23,26
533,533,,4,28,32
534,534,,3,29,32
535,535,,0,21,21
536,536,,0,31,31
537,537,,1,22,23
538,538,,1,24,25
539,539,,5,36,41
540,540,,2,21,23
541,541,,0,33,33
542,542,,3,28,31
543,543,,1,18,19
544,544,,3,22,25
545,545,,5,29,34
546,546,,2,19,21
547,547,,2,34,36
548,548,,2,26,28
549,549,,2,25,27
550,550,,2,17,19
551,551,,5,30,35
552,552,,6,28,34
553,553,,1,37,38
554,554,,0,30,30
555,555,,3,28,31
556,556,,2,25,27
557,557,,5,22,27
558,558,,2,28,30
559,559,,2,29,31
560,560,,3,29,32
561,561,,2,35,37
562,562,,1,18,19
563,563,,0,39,39
564,564,,2,30,32
565,565,,1,29,30
566,566,,6,24,30
567,567,,6,32,38
568,568,,3,19,22
569,569,,1,24,25
570,570,,3,35,38
571,571,,2,37,39
572,572,,1,23,24
573,573,,2,31,33
574,574,,3,21,24
575,575,,4,24,28
576,576,,3,27,30
577,577,,1,25,26
578,578,,4,25,29
579,579,,1,19,20
580,580,,3,23,26
581,581,,0,29,29
582,582,,1,25,26
583,583,,0,25,25
584,584,,1,22,23
585,585,,1,29,30
586,586,,3,27,30
587,587,,5,30,35
588,588,,3,31,34
589,589,,2,26,28
590,590,,3,31,34
591,591,,2,18,20
592,592,,2,24,26
593,593,,6,31,37
594,594,,2,29,31
595,595,,5,31,36
596,596,,1,31,32
597,597,,2,23,25
598,598,,0,20,20
599,599,,1,21,22
600,600,,2,31,33
601,601,,1,28,29
602,602,,6,28,34
603,603,,3,30,33
604,604,,2,33,35
605,605,,3,28,31
606,606,,0,25,25
607,607,,3,34,37
608,608,,5,30,35
609,609,,2,34,36
610,610,,3,38,41
611,611,,1,28,29
612,612,,2,23,25
613,613,,3,32,35
614,614,,5,22,27
615,615,,2,30,32
616,616,,3,31,34
617,617,,3,24,27
618,618,,3,30,33
619,619,,1,34,35
620,620,,3,30,33
621,621,,2,17,19
622,622,,3,24,27
623,623,,3,35,38
624,624,,4,13,17
625,625,,2,28,30
626,626,,3,22,25
627,627,,1,28,29
628,628,,5,14,19
629,629,,3,33,36
630,630,,0,23,23
631,631,,2,28,30
632,632,,1,27,28
633,633,,2,30,32
634,634,,3,23,26
635,635,,3,22,25
636,636,,0,33,33
637,637,,1,24,25
638,638,,2,20,22
639,639,,1,24,25
640,640,,3,28,31
641,641,,0,30,30
642,642,,1,28,29
643,643,,6,36,42
644,644,,3,31,34
645,645,,1,29,30
646,646,,6,26,32
647,647,,1,30,31
648,648,,3,31,34
649,649,,0,28,28
650,650,,3,32,35
651,651,,3,30,33
652,652,,0,23,23
653,653,,1,28,29
654,654,,1,23,24
655,655,,0,32,32
656,656,,1,25,26
657,657,,4,34,38
658,658,,3,23,26
659,659,,3,23,26
660,660,,2,27,29
661,661,,1,25,26
662,662,,1,27,28
663,663,,3,19,22
664,664,,1,36,37
665,665,,3,31,34
666,666,,0,32,32
667,667,,4,32,36
668,668,,2,33,35
669,669,,5,16,21
670,670,,1,34,35
671,671,,1,35,36
672,672,,1,25,26
673,673,,1,28,29
674,674,,5,26,31
675,675,,1,24,25
676,676,,2,27,29
677,677,,2,23,25
678,678,,3,27,30
679,679,,3,23,26
680,680,,4,40,44
681,681,,3,25,28
682,682,,4,29,33
683,683,,1,27,28
684,684,,0,15,15
685,685,,4,22,26
686,686,,2,32,34
687,687,,2,27,29
688,688,,5,21,26
689,689,,4,24,28
690,690,,1,29,30
691,691,,4,29,33
692,692,,1,24,25
693,693,,3,24,27
694,694,,4,26,30
695,695,,3,26,29
696,696,,1,21,22
697,697,,4,19,23
698,698,,5,28,33
699,699,,4,24,28
700,700,,1,19,20
701,701,,3,38,41
702,702,,4,26,30
703,703,,4,25,29
704,704,,4,22,26
705,705,,1,29,30
706,706,,3,20,23
707,707,,5,29,34
708,708,,2,21,23
709,709,,2,25,27
710,710,,2,28,30
711,711,,1,22,23
712,712,,2,27,29
713,713,,0,29,29
714,714,,2,22,24
715,715,,3,23,26
716,716,,5,31,36
717,717,,3,22,25
718,718,,4,19,23
719,719,,2,31,33
720,720,,4,19,23
721,721,,6,27,33
722,722,,1,24,25
723,723,,2,31,33
724,724,,4,21,25
725,725,,3,33,36
726,726,,3,22,25
727,727,,3,24,27
728,728,,2,28,30
729,729,,6,28,34
730,730,,4,21,25
731,731,,6,22,28
732,732,,7,37,44
733,733,,1,26,27
734,734,,1,36,37
735,735,,1,29,30
736,736,,3,19,22
737,737,,1,17,18
738,738,,4,25,29
739,739,,4,26,30
740,740,,4,29,33
741,741,,5,28,33
742,742,,6,33,39
743,743,,4,25,29
744,744,,4,29,33
745,745,,2,32,34
746,746,,5,21,26
747,747,,5,22,27
748,748,,3,17,20
749,749,,0,23,23
750,750,,4,28,32
751,751,,2,23,25
752,752,,5,30,35
753,753,,3,27,30
754,754,,1,24,25
755,755,,3,22,25
756,756,,6,36,42
757,757,,4,22,26
758,758,,5,27,32
759,759,,6,37,43
760,760,,2,29,31
761,761,,4,19,23
762,762,,7,24,31
763,763,,4,22,26
764,764,,4,30,34
765,765,,6,35,41
766,766,,4,37,41
767,767,,2,24,26
768,768,,4,25,29
769,769,,2,27,29
770,770,,5,24,29
771,771,,1,29,30
772,772,,4,28,32
773,773,,3,31,34
774,774,,6,26,32
775,775,,3,20,23
776,776,,4,35,39
777,777,,4,35,39
778,778,,3,29,32
779,779,,3,21,24
780,780,,9,32,41
781,781,,6,22,28
782,782,,5,27,32
783,783,,2,26,28
784,784,,3,33,36
785,785,,5,21,26
786,786,,2,33,35
787,787,,2,35,37
788,788,,4,24,28
789,789,,1,25,26
790,790,,4,24,28
791,791,,4,24,28
792,792,,4,31,35
793,793,,2,26,28
794,794,,5,18,23
795,795,,5,27,32
796,796,,2,33,35
797,797,,7,23,30
798,798,,1,22,23
799,799,,2,36,38
800,800,,2,25,27
801,801,,2,41,43
802,802,,2,31,33
803,803,,2,26,28
804,804,,3,29,32
805,805,,3,17,20
806,806,,0,22,22
807,807,,2,22,24
808,808,,2,21,23
809,809,,0,32,32
810,810,,3,17,20
811,811,,1,30,31
812,812,,4,30,34
813,813,,2,19,21
814,814,,3,32,35
815,815,,5,20,25
816,816,,3,35,38
817,817,,3,22,25
818,818,,5,26,31
819,819,,1,26,27
820,820,,2,28,30
821,821,,4,20,24
822,822,,3,27,30
823,823,,4,31,35
824,824,,6,23,29
825,825,,3,24,27
826,826,,5,17,22
827,827,,3,35,38
828,828,,8,17,25
829,829,,3,19,22
830,830,,4,17,21
831,831,,2,24,26
832,832,,1,22,23
833,833,,6,21,27
834,834,,2,32,34
835,835,,5,32,37
836,836,,2,16,18
837,837,,6,36,42
838,838,,1,24,25
839,839,,1,26,27
840,840,,5,23,28
841,841,,2,34,36
842,842,,5,35,40
843,843,,5,15,20
844,844,,3,26,29
845,845,,3,29,32
846,846,,2,28,30
847,847,,4,29,33
848,848,,3,22,25
849,849,,0,24,24
850,850,,0,24,24
851,851,,5,23,28
852,852,,1,38,39
853,853,,3,20,23
854,854,,3,21,24
855,855,,1,14,15
856,856,,4,27,31
857,857,,4,26,30
858,858,,3,30,33
859,859,,1,24,25
860,860,,6,30,36
861,861,,6,20,26
862,862,,3,37,40
863,863,,2,23,25
864,864,,3,32,35
865,865,,3,18,21
866,866,,2,19,21
867,867,,9,28,37
868,868,,3,31,34
869,869,,5,20,25
870,870,,0,22,22
871,871,,4,29,33
872,872,,4,33,37
873,873,,4,23,27
874,874,,4,26,30
875,875,,5,29,34
876,876,,3,35,38
877,877,,3,23,26
878,878,,4,23,27
879,879,,8,27,35
880,880,,1,22,23
881,881,,0,20,20
882,882,,1,21,22
883,883,,8,29,37
884,884,,2,33,35
885,885,,7,32,39
886,886,,2,26,28
887,887,,2,23,25
888,888,,3,28,31
889,889,,6,20,26
890,890,,3,30,33
891,891,,3,24,27
892,892,,5,27,32
893,893,,4,30,34
894,894,,2,23,25
895,895,,3,26,29
896,896,,3,27,30
897,897,,5,21,26
898,898,,5,31,36
899,899,,5,27,32
900,900,,5,20,25
901,901,,1,26,27
902,902,,3,27,30
903,903,,3,29,32
904,904,,5,26,31
905,905,,3,28,31
906,906,,1,26,27
907,907,,4,32,36
908,908,,4,24,28
909,909,,2,24,26
910,910,,7,21,28
911,911,,4,21,25
912,912,,1,31,32
913,913,,6,25,31
914,914,,3,24,27
915,915,,5,30,35
916,916,,5,29,34
917,917,,7,32,39
918,918,,3,29,32
919,919,,0,13,13
920,920,,4,29,33
921,921,,3,26,29
922,922,,3,25,28
923,923,,6,15,21
924,924,,3,15,18
925,925,,3,34,37
926,926,,4,35,39
927,927,,2,32,34
928,928,,5,25,30
929,929,,5,26,31
930,930,,6,25,31
931,931,,3,30,33
932,932,,4,28,32
933,933,,4,24,28
934,934,,5,28,33
935,935,,6,32,38
936,936,,1,26,27
937,937,,3,20,23
938,938,,3,21,24
939,939,,1,25,26
940,940,,3,27,30
941,941,,8,30,38
942,942,,2,22,24
943,943,,4,18,22
944,944,,2,22,24
945,945,,2,28,30
946,946,,4,19,23
947,947,,1,26,27
948,948,,6,21,27
949,949,,3,22,25
950,950,,4,23,27
951,951,,3,28,31
952,952,,5,27,32
953,953,,4,20,24
954,954,,4,16,20
955,955,,3,31,34
956,956,,4,20,24
957,957,,4,24,28
958,958,,3,28,31
959,959,,3,27,30
960,960,,4,25,29
961,961,,6,29,35
962,962,,6,17,23
963,963,,6,23,29
964,964,,6,31,37
965,965,,7,25,32
966,966,,1,30,31
967,967,,3,36,39
968,968,,5,26,31
969,969,,2,21,23
970,970,,2,25,27
971,971,,3,25,28
972,972,,1,25,26
973,973,,4,20,24
974,974,,3,26,29
975,975,,5,27,32
976,976,,5,32,37
977,977,,4,21,25
978,978,,6,27,33
979,979,,2,27,29
980,980,,6,26,32
981,981,,4,25,29
982,982,,7,20,27
983,983,,5,36,41
984,984,,3,30,33
985,985,,3,27,30
986,986,,1,19,20
987,987,,3,30,33
988,988,,6,24,30
989,989,,1,28,29
990,990,,3,20,23
991,991,,2,24,26
992,992,,4,33,37
993,993,,6,25,31
994,994,,5,32,37
995,995,,4,31,35
996,996,,6,25,31
997,997,,4,25,29
998,998,,4,24,28
999,999,,4,21,25
1000,1000,,5,30,35
1001,1001,,6,33,39
1002,1002,,6,22,28
1003,1003,,5,18,23
1004,1004,,2,28,30
1005,1005,,7,20,27
1006,1006,,3,21,24
1007,1007,,5,31,36
1008,1008,,4,21,25
1009,1009,,7,30,37
1010,1010,,2,25,27
1011,1011,,7,25,32
1012,1012,,2,24,26
1013,1013,,1,32,33
1014,1014,,4,14,18
1015,1015,,3,21,24
1016,1016,,3,24,27
1017,1017,,3,22,25
1018,1018,,6,31,37
1019,1019,,5,22,27
1020,1020,,5,23,28
1021,1021,,4,22,26
1022,1022,,4,22,26
1023,1023,,2,24,26
1024,1024,,2,25,27
1025,1025,,4,18,22
1026,1026,,3,25,28
1027,1027,,4,19,23
1028,1028,,5,26,31
1029,1029,,7,24,31
1030,1030,,5,23,28
1031,1031,,2,27,29
1032,1032,,3,22,25
1033,1033,,2,23,25
1034,1034,,5,25,30
1035,1035,,4,23,27
1036,1036,,0,24,24
1037,1037,,3,23,26
1038,1038,,4,34,38
1039,1039,,7,16,23
1040,1040,,3,28,31
1041,1041,,5,24,29
1042,1042,,4,25,29
1043,1043,,6,21,27
1044,1044,,4,34,38
1045,1045,,4,31,35
1046,1046,,2,28,30
1047,1047,,4,30,34
1048,1048,,2,22,24
1049,1049,,9,21,30
1050,1050,,2,20,22
1051,1051,,2,24,26
1052,1052,,1,29,30
1053,1053,,6,17,23
1054,1054,,5,13,18
1055,1055,,4,18,22
1056,1056,,5,21,26
1057,1057,,6,22,28
1058,1058,,0,29,29
1059,1059,,7,32,39
1060,1060,,5,22,27
1061,1061,,3,27,30
1062,1062,,7,23,30
1063,1063,,5,21,26
1064,1064,,4,23,27
1065,1065,,7,18,25
1066,1066,,0,16,16
1067,1067,,6,14,20
1068,1068,,3,19,22
1069,1069,,5,25,30
1070,1070,,6,25,31
1071,1071,,5,26,31
1072,1072,,6,30,36
1073,1073,,3,21,24
1074,1074,,6,27,33
1075,1075,,4,25,29
1076,1076,,2,30,32
1077,1077,,8,18,26
1078,1078,,3,18,21
1079,1079,,2,25,27
1080,1080,,4,26,30
1081,1081,,4,29,33
1082,1082,,5,33,38
1083,1083,,5,22,27
1084,1084,,5,25,30
1085,1085,,6,40,46
1086,1086,,5,17,22
1087,1087,,3,27,30
1088,1088,,4,28,32
1089,1089,,6,20,26
1090,1090,,7,25,32
1091,1091,,2,23,25
1092,1092,,2,26,28
1093,1093,,7,31,38
1094,1094,,7,28,35
1095,1095,,2,16,18
1096,1096,,7,22,29
1097,1097,,3,20,23
1098,1098,,7,33,40
1099,1099,,6,21,27
1100,1100,,5,25,30
1101,1101,,1,27,28
1102,1102,,4,25,29
1103,1103,,3,29,32
1104,1104,,4,23,27
1105,1105,,2,27,29
1106,1106,,7,18,25
1107,1107,,3,23,26
1108,1108,,3,33,36
1109,1109,,6,32,38
1110,1110,,1,32,33
1111,1111,,3,18,21
1112,1112,,5,19,24
1113,1113,,8,18,26
1114,1114,,9,20,29
1115,1115,,2,28,30
1116,1116,,3,18,21
1117,1117,,5,25,30
1118,1118,,8,31,39
1119,1119,,4,26,30
1120,1120,,11,24,35
1121,1121,,6,28,34
1122,1122,,6,29,35
1123,1123,,2,14,16
1124,1124,,4,26,30
1125,1125,,5,23,28
1126,1126,,5,26,31
1127,1127,,5,24,29
1128,1128,,5,12,17
1129,1129,,3,24,27
1130,1130,,5,25,30
1131,1131,,7,22,29
1132,1132,,9,34,43
1133,1133,,2,21,23
1134,1134,,4,28,32
1135,1135,,3,26,29
1136,1136,,5,28,33
1137,1137,,7,17,24
1138,1138,,3,26,29
1139,1139,,0,23,23
1140,1140,,9,19,28
1141,1141,,5,35,40
1142,1142,,6,30,36
1143,1143,,6,23,29
1144,1144,,2,22,24
1145,1145,,5,21,26
1146,1146,,3,28,31
1147,1147,,2,29,31
1148,1148,,3,24,27
1149,1149,,6,35,41
1150,1150,,3,23,26
1151,1151,,8,16,24
1152,1152,,7,19,26
1153,1153,,8,30,38
1154,1154,,5,20,25
1155,1155,,4,27,31
1156,1156,,2,28,30
1157,1157,,4,22,26
1158,1158,,4,23,27
1159,1159,,1,21,22
1160,1160,,3,38,41
1161,1161,,9,22,31
1162,1162,,6,19,25
1163,1163,,6,33,39
1164,1164,,6,19,25
1165,1165,,6,25,31
1166,1166,,4,12,16
1167,1167,,5,31,36
1168,1168,,3,28,31
1169,1169,,2,25,27
1170,1170,,1,26,27
1171,1171,,2,21,23
1172,1172,,2,23,25
1173,1173,,4,28,32
1174,1174,,4,23,27
1175,1175,,7,19,26
1176,1176,,2,35,37
1177,1177,,5,32,37
1178,1178,,5,25,30
1179,1179,,5,19,24
1180,1180,,6,16,22
1181,1181,,7,34,41
1182,1182,,7,30,37
1183,1183,,8,20,28
1184,1184,,4,22,26
1185,1185,,4,18,22
1186,1186,,1,28,29
1187,1187,,5,17,22
1188,1188,,4,20,24
1189,1189,,7,23,30
1190,1190,,3,29,32
1191,1191,,5,25,30
1192,1192,,6,25,31
1193,1193,,8,31,39
1194,1194,,5,23,28
1195,1195,,5,30,35
1196,1196,,7,21,28
1197,1197,,5,23,28
1198,1198,,5,25,30
1199,1199,,7,24,31
1200,1200,,4,24,28
1201,1201,,6,24,30
1202,1202,,2,25,27
1203,1203,,3,23,26
1204,1204,,1,22,23
1205,1205,,5,23,28
1206,1206,,10,17,27
1207,1207,,2,24,26
1208,1208,,6,21,27
1209,1209,,7,32,39
1210,1210,,4,20,24
1211,1211,,6,26,32
1212,1212,,7,23,30
1213,1213,,6,31,37
1214,1214,,5,31,36
1215,1215,,7,21,28
1216,1216,,4,24,28
1217,1217,,4,24,28
1218,1218,,5,22,27
1219,1219,,7,19,26
1220,1220,,5,22,27
1221,1221,,4,24,28
1222,1222,,2,22,24
1223,1223,,2,22,24
1224,1224,,5,29,34
1225,1225,,2,27,29
1226,1226,,1,28,29
